Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How do I buy tickets for matches at Old Trafford?	Match tickets for Premier League games at Old Trafford are sold exclusively to Official Members. If you are a Member already, you can check availability and purchase tickets by [clicking here](https://www.eticketing.co.uk/muticketsandmembership/default.aspx?_ga=2.192934825.2016009893.1513605656-1219262988.1513254084). If tickets for the game you are hoping to attend are not available, you can [register your interest](https://display.engagesciences.com/display/container/d/dee13dc4-e7f5-4d1b-a821-43dce7d2ee47/details) so that we can notify you if further tickets do become available for sale.&nbsp;\n\nFor games against Arsenal, Chelsea, Liverpool and Manchester City, Official Members need to make a ballot application for the chance to be successful in obtaining tickets. Visit [Tickets &amp; Hospitality](https://www.manutd.com/en/Tickets-And-Hospitality)&nbsp;for more information.\n\nIf you are not a Member, you can click on the tab below to know more about an Official Membership.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[{"displayOrder":0,"qnaId":116,"displayText":"Membership Information"}]	14
Home games	Match tickets for Premier League games at Old Trafford are sold exclusively to Official Members. If you are a Member already, you can check availability and purchase tickets by [clicking here](https://www.eticketing.co.uk/muticketsandmembership/default.aspx?_ga=2.192934825.2016009893.1513605656-1219262988.1513254084). If tickets for the game you are hoping to attend are not available, you can [register your interest](https://display.engagesciences.com/display/container/d/dee13dc4-e7f5-4d1b-a821-43dce7d2ee47/details) so that we can notify you if further tickets do become available for sale.&nbsp;\n\nFor games against Arsenal, Chelsea, Liverpool and Manchester City, Official Members need to make a ballot application for the chance to be successful in obtaining tickets. Visit [Tickets &amp; Hospitality](https://www.manutd.com/en/Tickets-And-Hospitality)&nbsp;for more information.\n\nIf you are not a Member, you can click on the tab below to know more about an Official Membership.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[{"displayOrder":0,"qnaId":116,"displayText":"Membership Information"}]	14
How do I buy tickets for home games?	Match tickets for Premier League games at Old Trafford are sold exclusively to Official Members. If you are a Member already, you can check availability and purchase tickets by [clicking here](https://www.eticketing.co.uk/muticketsandmembership/default.aspx?_ga=2.192934825.2016009893.1513605656-1219262988.1513254084). If tickets for the game you are hoping to attend are not available, you can [register your interest](https://display.engagesciences.com/display/container/d/dee13dc4-e7f5-4d1b-a821-43dce7d2ee47/details) so that we can notify you if further tickets do become available for sale.&nbsp;\n\nFor games against Arsenal, Chelsea, Liverpool and Manchester City, Official Members need to make a ballot application for the chance to be successful in obtaining tickets. Visit [Tickets &amp; Hospitality](https://www.manutd.com/en/Tickets-And-Hospitality)&nbsp;for more information.\n\nIf you are not a Member, you can click on the tab below to know more about an Official Membership.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[{"displayOrder":0,"qnaId":116,"displayText":"Membership Information"}]	14
Do you have any information for match-going fans with accessibility requirements?	Old Trafford is home to a range of facilities for supporters with accessibility requirements or disabilities. There is detailed[ information on accessing the stadium on matchdays](https://www.manutd.com/en/Tickets-And-Hospitality/Accessibility)&nbsp;in our Tickets &amp; Hospitality section, or alternatively you can email&nbsp;[accessibility@manutd.co.uk](mailto:accessibility@manutd.co.uk)&nbsp;or call +44 161 868 8009. For specific info, click below:	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[{"displayOrder":0,"qnaId":22,"displayText":"Lifts"},{"displayOrder":0,"qnaId":23,"displayText":"Walking Aids"}]	15
accessibility information	Old Trafford is home to a range of facilities for supporters with accessibility requirements or disabilities. There is detailed[ information on accessing the stadium on matchdays](https://www.manutd.com/en/Tickets-And-Hospitality/Accessibility)&nbsp;in our Tickets &amp; Hospitality section, or alternatively you can email&nbsp;[accessibility@manutd.co.uk](mailto:accessibility@manutd.co.uk)&nbsp;or call +44 161 868 8009. For specific info, click below:	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[{"displayOrder":0,"qnaId":22,"displayText":"Lifts"},{"displayOrder":0,"qnaId":23,"displayText":"Walking Aids"}]	15
How do I buy tickets for away games?	Due to the high demand for tickets to away games, applications are accepted by Executive Club Members, and eligible Platinum, Gold and Silver Level Season Ticket holders only.  Applications are generally accepted four weeks before the games and supporters who make applications are notified of their results by email and SMS.  [Visit our away ticket news section](https://www.manutd.com/en/Tickets-And-Hospitality/Match-Tickets/Away-games) for more information on away games, and application dates.\n\nYou can find information regarding [accessible away ticketing](https://www.manutd.com/en/Tickets-And-Hospitality/Accessibility/Accessbility-Away-Games) in our dedicated section, or by emailing [accessibility@manutd.co.uk](mailto:accessibility@manutd.co.uk) or calling +44 161 868 8009.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[]	16
tickets for away games	Due to the high demand for tickets to away games, applications are accepted by Executive Club Members, and eligible Platinum, Gold and Silver Level Season Ticket holders only.  Applications are generally accepted four weeks before the games and supporters who make applications are notified of their results by email and SMS.  [Visit our away ticket news section](https://www.manutd.com/en/Tickets-And-Hospitality/Match-Tickets/Away-games) for more information on away games, and application dates.\n\nYou can find information regarding [accessible away ticketing](https://www.manutd.com/en/Tickets-And-Hospitality/Accessibility/Accessbility-Away-Games) in our dedicated section, or by emailing [accessibility@manutd.co.uk](mailto:accessibility@manutd.co.uk) or calling +44 161 868 8009.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[]	16
away games tickets	Due to the high demand for tickets to away games, applications are accepted by Executive Club Members, and eligible Platinum, Gold and Silver Level Season Ticket holders only.  Applications are generally accepted four weeks before the games and supporters who make applications are notified of their results by email and SMS.  [Visit our away ticket news section](https://www.manutd.com/en/Tickets-And-Hospitality/Match-Tickets/Away-games) for more information on away games, and application dates.\n\nYou can find information regarding [accessible away ticketing](https://www.manutd.com/en/Tickets-And-Hospitality/Accessibility/Accessbility-Away-Games) in our dedicated section, or by emailing [accessibility@manutd.co.uk](mailto:accessibility@manutd.co.uk) or calling +44 161 868 8009.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[]	16
How do I buy a Season Ticket, and what does this involve?	To be in with a chance of becoming a Season Ticket holder for next season, [join the Season Ticket Waiting List](https://display.engagesciences.com/display/container/d/30345c2d-5649-4d5c-b5b3-accb6b228ce5/details). Priority for Season Tickets when they go on sale in the new year will be given to [Official Members](https://www.manutd.com/en/Tickets-And-Hospitality/Official-Membership) who have paid a deposit for a Season Ticket – to find out more about deposits (the cost of which will be deducted from the cost of your Season Ticket) please call +441618688000.\n\nWhen you purchase your Season Ticket, you will pay for your seat for the 19 home Premier League games, and card details will be taken, from which we will automatically deduct the cost of home cup games at Old Trafford. As per the [Season Ticket terms and conditions](https://www.manutd.com/en/Help/Terms-And-Conditions-Of-Sale), tickets for FA Cup and UEFA Champions League competitions are compulsory with your Season Ticket, although you can opt out of home games in the EFL Cup and Europa League (if applicable) on a seasonal or match-by-match basis.	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[]	17
How much do tickets cost?	For an overview of tickets prices, [visit the Match Tickets section](https://www.manutd.com/en/Tickets-And-Hospitality/Match-Tickets)	https://www.manutd.com/en/help/faqs/ticketing		[]	false	[]	18
